Date,Area,Block,Cluster,Time Slot,Doors Knocked,Doors Opened,Conversations,Leads Captured,Appointments Set,Open Rate %,Conversation Rate %,Lead Rate %,Notes
2025-04-01,Punggol,123A,Punggol Field,Evening (6-8pm),45,18,12,5,2,40.0,66.7,27.8,Good response from young families. Many upgrading questions.
2025-04-02,Serangoon,234A,Serangoon Central,Evening (6-8pm),38,12,8,3,1,31.6,66.7,25.0,Mature owners. Slower to open but higher quality conversations.
2025-04-03,Punggol,456C,Punggol Waterway,Evening (6-8pm),52,22,15,6,3,42.3,68.2,27.3,Waterway area very receptive. BTO completion creating interest.
2025-04-04,Sengkang,345B,Anchorvale,Evening (6-8pm),41,15,10,4,2,36.6,66.7,26.7,Many upgraders from older Sengkang estates.
2025-04-05,Punggol,789A,Punggol Central,Evening (6-8pm),48,20,14,5,2,41.7,70.0,29.2,Friday evening good turnout. Residents relaxed.
2025-04-07,Serangoon,567B,Lorong Chuan,Evening (6-8pm),35,11,7,2,1,31.4,63.6,18.2,Older estate. More resistant but qualified leads.
2025-04-08,Punggol,234D,Punggol Drive,Evening (6-8pm),50,24,16,7,3,48.0,66.7,29.2,Best session this week. High energy area.
2025-04-09,Sengkang,678C,Fernvale,Evening (6-8pm),43,16,11,4,1,37.2,68.8,25.0,Newer BTOs. Young professionals interested in investment.
2025-04-10,Punggol,890B,Punggol Walk,Evening (6-8pm),47,19,13,6,2,40.4,68.4,31.6,Weekend session. Longer conversations.
2025-04-11,Serangoon,123C,Brighton Estate,Evening (6-8pm),40,14,9,3,2,35.0,64.3,21.4,Conservative area. Script worked well with authority angle.
