Date,Practice Type,Difficulty,Scenario Type,Script Used,Score,Feedback,Improvement Notes,Duration
2025-04-01,Warm-up,Easy,Punggol,Punggol Opening,8/10,Good energy,Slow down first sentence,10 min
2025-04-01,Simulation,Medium,Punggol,Objection - Not Interested,7/10,Handled well,Ask more questions before answering,15 min
2025-04-02,Warm-up,Easy,Serangoon,Serangoon Opening,7/10,Calm tone,More authority in voice,10 min
2025-04-02,Simulation,Hard,Serangoon,Objection - Have Agent,6/10,Aggressive response,Soften the pivot,15 min
2025-04-03,Warm-up,Easy,Punggol,Punggol Hook,9/10,Strong hook,Keep the energy,10 min
2025-04-03,Simulation,Medium,Punggol,Objection - No Time,8/10,Respected time,Get commitment for callback,15 min
2025-04-04,Review,Easy,Both,Script comparison,8/10,Good analysis,Punggol script converts better,20 min
2025-04-05,Warm-up,Medium,Punggol,Full Script,8/10,Smooth delivery,Work on transitions,10 min
2025-04-05,Simulation,Hard,Serangoon,Objection - Silent Resident,7/10,Patient approach,Have ready questions,15 min
2025-04-07,Warm-up,Easy,Serangoon,Serangoon Hook,8/10,Authoritative,Add specific data point,10 min
2025-04-07,Simulation,Medium,Serangoon,Objection - Thinking,7/10,Good probing,Offer market report,15 min
2025-04-08,Warm-up,Easy,Punggol,Punggol Opening,9/10,Excellent energy,N/A - keep consistent,10 min
2025-04-08,Simulation,Hard,Punggol,Objection - Already Listed,6/10,Defensive,Emphasize different approach,15 min
2025-04-09,Review,Medium,Both,Weekly review,8/10,Strong week,Focus on Serangoon objections,20 min
